Project,Bug_ID,Buggy_Code,Fixed_Code
ansible,1,,
ansible,10,current_line.next.prev = current_line.prev,"self.prev = None
self.next = None
if current_line.next is not None:
current_line.next.prev = current_line.prev"
ansible,11,"banner_cmd += want['text'].strip()
rc, out, err = exec_command(module, 'show banner %s' % module.params['banner'])
if rc == 0:
output = out
else:
rc, out, err = exec_command(module,
'show running-config | begin banner %s'
% module.params['banner'])
if out:
output = re.search(r'\^C(.*?)\^C', out, re.S).group(1).strip()
if text:
text = str(text).strip()","banner_cmd += want['text'].strip('\n')
""""""
This function gets the banner config without stripping any whitespaces,
and then fetches the required banner from it.
:param module:
:return: banner config dict object.
""""""
out = get_config(module, flags='| begin banner %s' % module.params['banner'])
if out:
regex = 'banner ' + module.params['banner'] + ' ^C\n'
if search('banner ' + module.params['banner'], out, M):
output = str((out.split(regex))[1].split(""^C\n"")[0])
else:
output = None"
ansible,12,"ret.append(os.getenv(var, ''))","ret.append(py3compat.environ.get(var, ''))"
ansible,13,"name, dummy, requirement = collection_input.partition(':')
elif urlparse(collection).scheme:
b_tar_path = _download_file(collection, b_temp_path, None, validate_certs)","requirement = None
if os.path.isfile(to_bytes(collection_input, errors='surrogate_or_strict')) or \
urlparse(collection_input).scheme.lower() in ['http', 'https']:
# Arg is a file path or URL to a collection
name = collection_input
else:
name, dummy, requirement = collection_input.partition(':')
elif urlparse(collection).scheme.lower() in ['http', 'https']:
try:
b_tar_path = _download_file(collection, b_temp_path, None, validate_certs)
except urllib_error.URLError as err:
raise AnsibleError(""Failed to download collection tar from '%s': %s""
% (to_native(collection), to_native(err)))"
ansible,14,"url = _urljoin(self.api_server, data['next_link'])
display.vvvv(""Unable to retrive role (id=%s) data (%s), but this is not fatal so we continue: %s""
% (role_id, related, to_text(e)))","from urllib.parse import urlparse
# Python 2
from urlparse import urlparse
# https://github.com/ansible/ansible/issues/64355
# api_server contains part of the API path but next_link includes the the /api part so strip it out.
url_info = urlparse(self.api_server)
base_url = ""%s://%s/"" % (url_info.scheme, url_info.netloc)
url = _urljoin(base_url, data['next_link'])
display.warning(""Unable to retrieve role (id=%s) data (%s), but this is not fatal so we continue: %s""
% (role_id, related, to_text(e)))"
ansible,15,if needs_update('state') and not needs_update('vrf'):,if needs_update('state'):
ansible,16,"# Always use 'processor' count for ARM systems
if collected_facts.get('ansible_architecture', '').startswith(('armv', 'aarch')):
'processor_count': 16,
'processor_vcpus': 16
'processor_count': 48,
'processor_vcpus': 48","# The fields for Power CPUs include 'processor' and 'cpu'.
# Always use 'processor' count for ARM and Power systems
if collected_facts.get('ansible_architecture', '').startswith(('armv', 'aarch', 'ppc')):
'processor_count': 8,
'processor_vcpus': 8
'processor_count': 24,
'processor_vcpus': 24"
ansible,17,,
ansible,18,"desc=""Perform various Role related operations."",
description='your description',
display.display(""- %s was created successfully"" % obj_name)","desc=""Perform various Role and Collection related operations."",
description='your {0} description'.format(galaxy_type),
display.display(""- %s %s was created successfully"" % (galaxy_type.title(), obj_name))"
